id_experimento,T,n_puntos,r2_nernst,mae_nernst,nrmse_nernst,r2_pls,mae_pls,nrmse_pls,r2_kpls,mae_kpls,nrmse_kpls,mejor_modelo
1,550.0,14,0.9951,0.0087,0.0222,0.9133,0.0362,0.0928,0.8348,0.0501,0.1281,Nernst
2,575.0,15,0.8519,0.0406,0.1192,0.9922,0.009,0.0274,0.9868,0.0112,0.0356,PLS
3,600.0,16,0.8364,0.0407,0.1235,0.9917,0.0098,0.0278,0.9809,0.014,0.0422,PLS
4,625.0,16,0.7234,0.046,0.1611,0.9713,0.0139,0.0519,0.9545,0.0187,0.0654,PLS
5,650.0,1,,0.1525,,,0.0787,,,0.0481,,Nernst
6,650.0,1,,0.1494,,,0.1097,,,0.0012,,Nernst
7,650.0,1,,0.1224,,,0.055,,,0.0517,,Nernst
8,650.0,1,,0.081,,,0.0571,,,0.025,,Nernst
9,650.0,1,,0.1049,,,0.0438,,,0.0432,,Nernst
10,650.0,1,,0.073,,,0.0576,,,0.0027,,Nernst
11,650.0,1,,0.0929,,,0.0382,,,0.0301,,Nernst
12,650.0,1,,0.0496,,,0.0393,,,0.0049,,Nernst
13,650.0,1,,0.0831,,,0.0347,,,0.0163,,Nernst
14,650.0,19,0.6647,0.0722,0.1558,0.8902,0.033,0.0892,0.9764,0.0132,0.0413,KPLS
15,650.0,1,,0.0243,,,0.0173,,,0.0152,,Nernst
16,650.0,20,0.8109,0.0457,0.1118,0.9106,0.0226,0.0769,0.928,0.0206,0.069,KPLS
17,650.0,20,0.8562,0.0415,0.1034,0.942,0.022,0.0657,0.9563,0.0196,0.057,KPLS
18,650.0,15,0.9685,0.0165,0.0541,0.9779,0.0158,0.0453,0.9889,0.0104,0.032,KPLS
19,650.0,1,,0.0754,,,0.0334,,,0.0022,,Nernst
20,650.0,12,0.7425,0.051,0.1583,0.9396,0.0205,0.0767,0.9954,0.0055,0.0211,KPLS
21,650.0,21,0.8578,0.0445,0.0991,0.925,0.0362,0.0719,0.9925,0.0093,0.0227,KPLS
22,650.0,22,0.7853,0.0408,0.1026,0.8821,0.0231,0.0761,0.8538,0.0424,0.0847,PLS
23,650.0,21,0.9299,0.0293,0.0713,0.8421,0.0373,0.107,0.8907,0.0262,0.0891,Nernst
24,650.0,13,0.9592,0.0186,0.0614,0.9887,0.0087,0.0323,0.9583,0.0197,0.062,PLS
25,650.0,8,0.9456,0.0278,0.076,0.9551,0.0211,0.069,0.9798,0.0154,0.0464,KPLS
26,650.0,13,0.9188,0.0249,0.09,0.9934,0.0067,0.0257,0.9457,0.0215,0.0736,PLS
27,650.0,15,0.9698,0.0101,0.0532,0.9739,0.0151,0.0494,0.9868,0.0083,0.0351,KPLS
28,650.0,1,,0.0071,,,0.0123,,,0.0367,,Nernst
29,650.0,14,0.97,0.0125,0.0532,0.9962,0.0059,0.0189,0.9927,0.0073,0.0263,PLS
30,650.0,1,,0.069,,,0.0334,,,0.011,,Nernst
31,650.0,15,0.8088,0.0402,0.1343,0.9915,0.008,0.0282,0.9867,0.0097,0.0353,PLS
32,650.0,13,0.9392,0.0233,0.0768,0.9834,0.0116,0.0401,0.9095,0.0301,0.0937,PLS
33,650.0,13,0.9523,0.0208,0.0675,0.9863,0.0103,0.0362,0.9743,0.0148,0.0496,PLS
34,650.0,15,0.9818,0.0097,0.0409,0.9946,0.0059,0.0223,0.9685,0.0171,0.0539,PLS
35,650.0,14,0.9812,0.008,0.0423,0.999,0.0025,0.0096,0.9926,0.0079,0.0265,PLS
36,650.0,13,0.957,0.0172,0.0648,0.9824,0.0119,0.0415,0.9489,0.0214,0.0706,PLS
37,650.0,13,0.8995,0.032,0.0979,0.9591,0.0185,0.0624,0.9814,0.0118,0.0421,KPLS
38,650.0,13,0.9374,0.0238,0.0769,0.9841,0.0108,0.0388,0.9873,0.0095,0.0347,KPLS
39,650.0,13,0.9644,0.0165,0.0583,0.9661,0.0162,0.0569,0.9991,0.0023,0.0092,KPLS
40,650.0,13,0.9242,0.0254,0.0863,0.9045,0.0298,0.0969,0.9944,0.0071,0.0235,KPLS
41,650.0,1,,0.0336,,,0.0643,,,0.0868,,Nernst
42,650.0,15,0.9831,0.0109,0.0396,0.9951,0.0053,0.0214,0.988,0.0098,0.0334,PLS
43,650.0,15,0.9637,0.0164,0.0584,0.9492,0.0205,0.0691,0.9777,0.0101,0.0458,KPLS
44,650.0,1,,0.0096,,,0.0139,,,0.0323,,Nernst
45,650.0,1,,0.0638,,,0.0345,,,0.0229,,Nernst
46,650.0,15,0.7934,0.0403,0.1382,0.9864,0.0098,0.0354,0.988,0.008,0.0333,KPLS
47,650.0,15,0.9421,0.0211,0.0739,0.9769,0.0111,0.0467,0.9842,0.0108,0.0387,KPLS
48,650.0,15,0.9354,0.022,0.0781,0.9471,0.0194,0.0706,0.9785,0.0102,0.0451,KPLS
49,650.0,15,0.8218,0.0343,0.1296,0.8609,0.0297,0.1145,0.9761,0.0098,0.0475,KPLS
50,650.0,1,,0.0224,,,0.0266,,,0.0392,,Nernst
51,650.0,1,,0.0585,,,0.0356,,,0.0322,,Nernst
52,650.0,15,0.7861,0.0414,0.1429,0.9704,0.0123,0.0532,0.9811,0.009,0.0425,KPLS
