id_experimento,T,n_puntos,r2_nernst,mae_nernst,r2_pls,mae_pls,r2_kpls,mae_kpls,r2_gpr,mae_gpr,r2_gpr_res,mae_gpr_res,mejor_modelo
1,650.0,25,0.9006,0.04,0.9132,0.0375,0.9062,0.036,0.8798,0.0314,0.8505,0.0327,PLS
2,650.0,14,0.9665,0.0147,0.8993,0.0357,0.9053,0.0315,0.9702,0.0126,0.9516,0.0179,GPR
3,650.0,13,0.9795,0.0102,0.8772,0.0326,0.9564,0.0196,0.9929,0.0058,0.9685,0.0146,GPR
4,650.0,15,0.9468,0.0215,0.9347,0.0217,0.9892,0.0087,0.9489,0.0189,0.9848,0.0089,KPLS
5,650.0,14,0.9762,0.0145,0.886,0.032,0.9129,0.0297,0.9934,0.0074,0.9957,0.0051,GPR_Res
6,650.0,20,0.8109,0.0457,0.744,0.0627,0.774,0.0518,0.9662,0.0153,0.9825,0.0139,GPR_Res
7,650.0,20,0.8562,0.0415,0.7238,0.0634,0.7866,0.0523,0.9939,0.0057,0.9865,0.0115,GPR
8,650.0,22,0.7853,0.0408,0.8955,0.0241,0.8365,0.0238,0.8994,0.0278,0.8786,0.0203,GPR
9,625.0,16,0.7234,0.046,0.6222,0.0501,0.7815,0.0371,0.888,0.0273,0.9493,0.0169,GPR_Res
10,600.0,16,0.8364,0.0407,0.784,0.0477,0.8771,0.0318,0.9264,0.0259,0.9713,0.0148,GPR_Res
11,575.0,15,0.8519,0.0406,0.7756,0.0545,0.9058,0.0291,0.923,0.0282,0.9871,0.009,GPR_Res
12,550.0,14,0.9951,0.0087,0.9122,0.0338,0.9961,0.0071,0.9959,0.0065,0.9958,0.0061,KPLS
13,650.0,15,0.8218,0.0343,0.7295,0.0377,0.884,0.0255,0.9858,0.0085,0.9972,0.0035,GPR_Res
14,650.0,16,0.9176,0.0259,0.7743,0.0373,0.9202,0.0255,0.994,0.0056,0.9904,0.0083,GPR
15,650.0,16,0.8897,0.0323,0.7448,0.0446,0.8665,0.0372,0.9946,0.0053,0.9988,0.003,GPR_Res
16,650.0,16,0.9142,0.0205,0.7609,0.0381,0.9512,0.0178,0.975,0.013,0.9883,0.0063,GPR_Res
17,650.0,15,0.7861,0.0414,0.713,0.0431,0.8243,0.0384,0.9847,0.0103,0.996,0.0053,GPR_Res
18,650.0,15,0.8938,0.0273,0.7754,0.0351,0.9077,0.0244,0.9929,0.0062,0.998,0.0033,GPR_Res
19,650.0,15,0.9354,0.022,0.8125,0.0331,0.9176,0.0254,0.9942,0.0051,0.9968,0.0046,GPR_Res
20,650.0,15,0.9637,0.0164,0.8448,0.031,0.9257,0.0255,0.993,0.006,0.9948,0.0061,GPR_Res
21,650.0,15,0.8746,0.0305,0.8379,0.0308,0.9495,0.0171,0.9799,0.0106,0.9887,0.0075,GPR_Res
