id_experimento,T,n_puntos,r2_nernst,mae_nernst,r2_pls,mae_pls,r2_kpls,mae_kpls,r2_gpr,mae_gpr,r2_gpr_res,mae_gpr_res,mejor_modelo
1,650.0,25,0.9006,0.04,0.9105,0.0338,0.8915,0.0341,0.9221,0.0261,0.9245,0.026,GPR_Res
2,650.0,14,0.9665,0.0147,0.9673,0.0134,0.9594,0.0175,0.9965,0.0045,0.9974,0.0043,GPR_Res
3,650.0,13,0.9795,0.0102,0.9651,0.0167,0.9866,0.0095,0.998,0.0034,0.9788,0.0135,GPR
4,650.0,15,0.9468,0.0215,0.9821,0.0113,0.9834,0.0102,0.9971,0.0034,0.9965,0.0037,GPR
5,650.0,14,0.9762,0.0145,0.9674,0.0172,0.99,0.0078,0.9986,0.0035,0.9945,0.0067,GPR
6,650.0,20,0.8109,0.0457,0.9122,0.0223,0.9246,0.0215,0.9932,0.0087,0.9927,0.01,GPR
7,650.0,20,0.8562,0.0415,0.9437,0.0216,0.9505,0.0216,0.997,0.0039,0.9919,0.0085,GPR
8,650.0,22,0.7853,0.0408,0.8828,0.0231,0.8568,0.0411,0.9902,0.0103,0.988,0.0111,GPR
9,625.0,16,0.7234,0.046,0.9632,0.0149,0.9478,0.0191,0.9906,0.0071,0.9907,0.0069,GPR_Res
10,600.0,16,0.8364,0.0407,0.9971,0.0053,0.9877,0.0109,0.9967,0.0056,0.9962,0.0059,PLS
11,575.0,15,0.8519,0.0406,0.9924,0.0087,0.9924,0.0073,0.9981,0.004,0.9976,0.0049,GPR
12,550.0,14,0.9951,0.0087,0.9143,0.0359,0.8664,0.0447,0.9986,0.004,0.9989,0.0032,GPR_Res
13,650.0,15,0.8218,0.0343,0.8336,0.0331,0.976,0.01,0.9986,0.0026,0.9988,0.0024,GPR_Res
14,650.0,16,0.9176,0.0259,0.9799,0.0121,0.9783,0.0105,0.9975,0.0028,0.9955,0.0037,GPR
15,650.0,16,0.8897,0.0323,0.9867,0.011,0.963,0.0159,0.9988,0.003,0.9993,0.0025,GPR_Res
16,650.0,16,0.9142,0.0205,0.8987,0.0241,0.9766,0.0119,0.9956,0.0046,0.9973,0.0036,GPR_Res
17,650.0,15,0.7861,0.0414,0.9682,0.0129,0.9805,0.0092,0.9979,0.0033,0.9982,0.0033,GPR_Res
18,650.0,15,0.8938,0.0273,0.938,0.0185,0.9736,0.0123,0.9945,0.0057,0.9975,0.003,GPR_Res
19,650.0,15,0.9354,0.022,0.9395,0.021,0.9749,0.0112,0.9951,0.0062,0.9992,0.0022,GPR_Res
20,650.0,15,0.9637,0.0164,0.9417,0.0221,0.9736,0.011,0.9958,0.0058,0.9948,0.0067,GPR
21,650.0,15,0.8746,0.0305,0.9621,0.0145,0.977,0.0099,0.9992,0.0022,0.999,0.0024,GPR
22,650.0,28,0.9766,0.0142,0.947,0.0221,0.9756,0.0118,0.9984,0.0033,0.9984,0.0034,GPR
23,650.0,15,0.8885,0.0284,0.9718,0.0133,0.9893,0.008,0.9987,0.0024,0.996,0.0053,GPR
24,650.0,15,0.8989,0.0276,0.9834,0.0108,0.9931,0.006,0.9975,0.0044,0.9933,0.0074,GPR
25,650.0,15,0.8832,0.0292,0.9552,0.0163,0.984,0.0091,0.9979,0.0029,0.9976,0.003,GPR
26,650.0,15,0.9026,0.0274,0.9627,0.0147,0.9751,0.0127,0.9979,0.0022,0.9978,0.0026,GPR
27,650.0,16,0.8987,0.028,0.9465,0.0173,0.9683,0.015,0.9929,0.0051,0.9919,0.0058,GPR
28,650.0,16,0.83,0.0358,0.9373,0.0192,0.9772,0.0122,0.9926,0.0063,0.991,0.0068,GPR
29,650.0,15,0.8689,0.0307,0.9442,0.0176,0.9788,0.0096,0.9944,0.0064,0.9945,0.0063,GPR_Res
30,650.0,16,0.8529,0.0338,0.9328,0.0197,0.9667,0.0158,0.9915,0.0066,0.9901,0.0071,GPR
31,650.0,15,0.7934,0.0403,0.9858,0.01,0.988,0.0082,0.9995,0.0017,0.9967,0.0028,GPR
32,650.0,15,0.9698,0.0101,0.9684,0.0167,0.983,0.0098,0.9988,0.003,0.9664,0.0181,GPR
33,650.0,15,0.9685,0.0165,0.9734,0.0175,0.9878,0.0105,0.9982,0.0036,0.9533,0.0231,GPR
34,650.0,15,0.9334,0.0228,0.9794,0.0117,0.9973,0.0044,0.9944,0.007,0.9827,0.0125,KPLS
35,650.0,15,0.9578,0.0192,0.9471,0.0218,0.9969,0.0053,0.998,0.0035,0.9306,0.0261,GPR
36,650.0,15,0.9342,0.0231,0.9827,0.0106,0.9737,0.0152,0.997,0.0037,0.9975,0.0032,GPR_Res
37,650.0,15,0.9421,0.0211,0.9723,0.0123,0.9817,0.0116,0.9984,0.0033,0.9984,0.0031,GPR_Res
38,650.0,16,0.8262,0.0365,0.9496,0.0175,0.9851,0.0106,0.9976,0.0036,0.9974,0.0036,GPR
39,650.0,16,0.8974,0.0289,0.9518,0.0172,0.9643,0.0155,0.9878,0.0089,0.9897,0.008,GPR_Res
40,650.0,16,0.8554,0.0336,0.938,0.0189,0.9555,0.0184,0.9977,0.0033,0.9977,0.0032,GPR
41,650.0,15,0.8088,0.0402,0.99,0.0088,0.9908,0.0073,0.9998,0.0011,0.9994,0.0017,GPR
42,650.0,15,0.9862,0.0105,0.9977,0.0048,0.9857,0.0099,0.9982,0.0028,0.9984,0.0028,GPR_Res
43,650.0,14,0.988,0.0073,0.974,0.016,0.978,0.0113,0.9981,0.004,0.9977,0.0045,GPR
44,650.0,14,0.9685,0.0143,0.9096,0.031,0.9584,0.0196,0.9996,0.0017,0.9993,0.0024,GPR
45,650.0,15,0.9831,0.0109,0.9932,0.0066,0.9866,0.0106,0.9892,0.01,0.9878,0.0104,PLS
46,650.0,16,0.8587,0.0336,0.9706,0.0149,0.9845,0.0108,0.9976,0.0037,0.9975,0.0037,GPR
47,650.0,16,0.9515,0.0213,0.9827,0.0104,0.9659,0.0183,0.9821,0.0127,0.9831,0.0122,GPR_Res
48,650.0,14,0.9863,0.0098,0.7909,0.0474,0.9417,0.0217,0.9893,0.0077,0.8979,0.0326,GPR
49,650.0,14,0.9833,0.0092,0.663,0.0615,0.9224,0.0251,0.9987,0.003,0.7655,0.0516,GPR
50,650.0,14,0.97,0.0125,0.9961,0.0059,0.9942,0.0061,0.9988,0.003,0.999,0.0029,GPR_Res
51,650.0,13,0.9523,0.0208,0.9876,0.0099,0.9774,0.014,0.9997,0.0014,0.9981,0.0039,GPR
52,650.0,13,0.9392,0.0233,0.9814,0.0122,0.9254,0.0278,0.9996,0.0018,0.9866,0.0118,GPR
53,650.0,14,0.9812,0.008,0.999,0.0025,0.99,0.0092,0.9943,0.0058,0.9921,0.0076,PLS
54,650.0,13,0.957,0.0172,0.9826,0.0119,0.9395,0.0233,0.9983,0.0034,0.9976,0.0041,GPR
55,650.0,15,0.9818,0.0097,0.994,0.0062,0.9698,0.0167,0.9969,0.0047,0.9971,0.0045,GPR_Res
56,650.0,13,0.9188,0.0249,0.9939,0.0065,0.9373,0.023,0.9982,0.003,0.9986,0.003,GPR_Res
57,650.0,13,0.9592,0.0186,0.9893,0.0085,0.9521,0.0212,0.9963,0.0048,0.9915,0.0082,GPR
