id_experimento,T,n_puntos,r2_nernst,mae_nernst,nrmse_nernst,r2_pls,mae_pls,nrmse_pls,r2_kpls,mae_kpls,nrmse_kpls,mejor_modelo
1,650.0,25,0.9006,0.04,0.0811,0.5738,0.0878,0.1679,0.7851,0.0442,0.1192,Nernst
2,650.0,14,0.9665,0.0147,0.0547,-0.2494,0.1293,0.3342,0.6628,0.0636,0.1736,Nernst
3,650.0,13,0.9795,0.0102,0.0449,-0.9943,0.1381,0.4432,0.0009,0.0976,0.3137,Nernst
4,650.0,15,0.9468,0.0215,0.0716,-0.2047,0.1079,0.3404,0.671,0.0571,0.1779,Nernst
5,650.0,14,0.9762,0.0145,0.046,-0.4358,0.1235,0.357,0.7136,0.054,0.1595,Nernst
6,650.0,20,0.8109,0.0457,0.1118,-0.1959,0.1427,0.2811,0.8091,0.0377,0.1123,Nernst
7,650.0,20,0.8562,0.0415,0.1034,-0.4063,0.1442,0.3234,0.825,0.0413,0.1141,Nernst
8,650.0,22,0.7853,0.0408,0.1026,0.5617,0.0857,0.1466,0.7541,0.0556,0.1098,Nernst
9,625.0,16,0.7234,0.046,0.1611,-0.0532,0.0967,0.3143,0.6715,0.0515,0.1756,Nernst
10,600.0,16,0.8364,0.0407,0.1235,-0.3855,0.1306,0.3593,0.1109,0.1025,0.2878,Nernst
11,575.0,15,0.8519,0.0406,0.1192,-0.2732,0.1311,0.3497,-0.366,0.1339,0.3622,Nernst
12,550.0,14,0.9951,0.0087,0.0222,0.0882,0.1304,0.301,-0.6717,0.1808,0.4076,Nernst
13,650.0,15,0.8218,0.0343,0.1296,0.3616,0.0664,0.2453,0.9243,0.0236,0.0845,KPLS
14,650.0,16,0.9176,0.0259,0.0879,0.6133,0.0561,0.1904,0.9972,0.0043,0.0163,KPLS
15,650.0,16,0.8897,0.0323,0.1008,0.7213,0.0501,0.1603,0.9922,0.0088,0.0268,KPLS
16,650.0,16,0.9142,0.0205,0.0897,0.438,0.0623,0.2296,0.974,0.0119,0.0493,KPLS
17,650.0,15,0.7861,0.0414,0.1429,0.5567,0.0596,0.2057,0.9617,0.0185,0.0605,KPLS
18,650.0,15,0.8938,0.0273,0.0995,0.4711,0.0622,0.2221,0.9939,0.0055,0.0238,KPLS
19,650.0,15,0.9354,0.022,0.0781,0.5366,0.061,0.2092,0.9985,0.003,0.0117,KPLS
20,650.0,15,0.9637,0.0164,0.0584,0.5661,0.0611,0.2019,0.9943,0.0069,0.0231,KPLS
21,650.0,15,0.8746,0.0305,0.1086,0.3608,0.0706,0.2451,0.9763,0.0134,0.0472,KPLS
22,650.0,28,0.9766,0.0142,0.0449,-0.0762,0.1098,0.3044,0.7912,0.0454,0.1341,Nernst
23,650.0,15,0.8885,0.0284,0.1012,0.3894,0.0693,0.2369,0.9872,0.009,0.0344,KPLS
24,650.0,15,0.8989,0.0276,0.0972,0.3264,0.0738,0.2508,0.9942,0.0062,0.0233,KPLS
25,650.0,15,0.8832,0.0292,0.1064,0.3596,0.0694,0.2491,0.9813,0.0105,0.0426,KPLS
